name_eng,url
Jun Won Jang,https://www.baseball-reference.com/register/player.fcgi?id=chang-000joo
Sung-Woo Jang,https://www.baseball-reference.com/register/player.fcgi?id=jang--001sun
Yong-ju Jeon,https://www.baseball-reference.com/register/player.fcgi?id=jeon--001yon
Jun Young Jeong,https://www.baseball-reference.com/register/player.fcgi?id=jeong-000jun
Yi Hyeon Jo,https://www.baseball-reference.com/register/player.fcgi?id=cho---002yeo
Kwon Ju,https://www.baseball-reference.com/register/player.fcgi?id=joo---000kwa
Baek Ho Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000bae
Geon Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--000geo
Hyeon Woo Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--002hye
Min Sung Kang,https://www.baseball-reference.com/register/player.fcgi?id=kang--009min
Byeong Jun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---008bye
Geon Hyoung Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---000rya
Jun Tae Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---001joo
Min Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---024min
Min Hyuck Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---017min
Min Su Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---019min
Sang-soo Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---008san
Young Hyun Kim,https://www.baseball-reference.com/register/player.fcgi?id=kim---006you
Young Pyo Ko,https://www.baseball-reference.com/register/player.fcgi?id=ko----000you
Dong Jin Kwon,https://www.baseball-reference.com/register/player.fcgi?id=kwon--000don
Chae Ho Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---021cha
Ho Yeon Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---000hoy
Sang Dong Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---025san
Sun-woo Lee,https://www.baseball-reference.com/register/player.fcgi?id=lee---008sun
Yong Ik Mon,https://www.baseball-reference.com/register/player.fcgi?id=mon---000yon
Sang Chul Moon,https://www.baseball-reference.com/register/player.fcgi?id=moon--000san
