name_eng_x,url,name_new,name_kor,name_eng_y
Gye Beom Park,https://www.baseball-reference.com/register/player.fcgi?id=park--001gye,gye beom park,박계범,Gye-Beom Park
Ji Ho Park,https://www.baseball-reference.com/register/player.fcgi?id=park--002jih,ji ho park,박지호,Ji-ho Park
Ji Ho Park,https://www.baseball-reference.com/register/player.fcgi?id=park--002jih,ji ho park,박지호,Ji-Ho Park
Jun Young Park,https://www.baseball-reference.com/register/player.fcgi?id=park--003joo,jun young park,박준영,Jun-Young Park
Jun Young Park,https://www.baseball-reference.com/register/player.fcgi?id=park--003joo,jun young park,박준영,Jun-Young Park
Henry Ramos,https://www.baseball-reference.com/register/player.fcgi?id=ramos-001hen,henry ramos,라모스,Henry Ramos
Hyun Jun Ryu,https://www.baseball-reference.com/register/player.fcgi?id=ryu---002hyu,hyun jun ryu,류현준,Hyun-jun Ryu
Ye Il Seo,https://www.baseball-reference.com/register/player.fcgi?id=seo---000ye-,ye il seo,서예일,Ye-Il Seo
Keisho Shirakawa,https://www.baseball-reference.com/register/player.fcgi?id=shirak000kei,keisho shirakawa,시라카와,Keisho Shirakawa
Brandon Waddell,https://www.baseball-reference.com/register/player.fcgi?id=waddel000bra,brandon waddell,브랜든,Brandon David Waddell
Jared Young,https://www.baseball-reference.com/register/player.fcgi?id=young-000jar,jared young,제러드,Jared Young
Jun Ho Yun,https://www.baseball-reference.com/register/player.fcgi?id=yun---001jun,jun ho yoon,윤준호,Jun-Ho Yoon
Chi Hong An,https://www.baseball-reference.com/register/player.fcgi?id=an----000chi,chi hong ahn,안치홍,Chi-Hong An
Min Seo Bae,https://www.baseball-reference.com/register/player.fcgi?id=bae---002min,min seo bae,배민서,Min-Seo Bae
Jaime Barria,https://www.baseball-reference.com/register/player.fcgi?id=barria000jai,jaime barria,바리아,Jaime Barria
Eun Seong Chae,https://www.baseball-reference.com/register/player.fcgi?id=chae--000weu,eun seong chae,채은성,Eun-Seong Chae
Kyu Hyun Chang,https://www.baseball-reference.com/register/player.fcgi?id=chang-000kyu,kyu hyun jang,장규현,Kyu-Hyun Jang
In Ho Choi,https://www.baseball-reference.com/register/player.fcgi?id=choi--000inh,in ho choi,최인호,In-Ho Choi
Seung Hyuk Han,https://www.baseball-reference.com/register/player.fcgi?id=han---000seu,seung hyuk han,한승혁,Seung-Hyuk Han
Jun Seo Hwang,https://www.baseball-reference.com/register/player.fcgi?id=hwang-002jun,jun seo hwang,황준서,Jun-seo Hwang
Young Mook Hwang,https://www.baseball-reference.com/register/player.fcgi?id=hwang-000you,young mook hwang,황영묵,Young-mook Hwang
Jin Hyuk Jang,https://www.baseball-reference.com/register/player.fcgi?id=chang-003jin,jin hyuk jang,장진혁,Jin-Hyuk Jang
Eun Won Jung,https://www.baseball-reference.com/register/player.fcgi?id=jung--000eun,eun won jeong,정은원,Eun-Won Jung
