name_eng_x,url,name_new,name_kor,name_eng_y
Duck Gyoon Hwang,https://www.baseball-reference.com/register/player.fcgi?id=hwang-000deo,duck gyoon hwang,,
,,duk jun kwon,권덕준,Duk-Jun Kwon
,,duk yoon kim,김덕윤,Duk-Yoon Kim
Dylan File,https://www.baseball-reference.com/register/player.fcgi?id=file--000dyl,dylan file,,
,,dylan michael file,딜런,Dylan Michael File
Eddie Butler,https://www.baseball-reference.com/register/player.fcgi?id=butler001edw,eddie butler,,
,,eddie lavorn pearson,피어슨,Eddie Lavorn Pearson
Eddie Pearson,https://www.baseball-reference.com/register/player.fcgi?id=pearso001edd,eddie pearson,,
Eddie Rios,https://www.baseball-reference.com/register/player.fcgi?id=rios--001edu,eddie rios,,
,,edgar gerardo gonzalez elizondo,곤잘레스,Édgar Gerardo González Elizondo
Édgar González,https://www.baseball-reference.com/register/player.fcgi?id=gonzal001edg,edgar gonzalez,,
,,eduardo rios,리오스,Eduardo Rios
,,edwin amilgar hurtado,후타도,Edwin Amilgar Hurtado
Edwin Hurtado,https://www.baseball-reference.com/register/player.fcgi?id=hurtad002edw,edwin hurtado,,
,,enderson daniel franco,프랑코,Enderson Daniel Franco
Enderson Franco,https://www.baseball-reference.com/register/player.fcgi?id=franco001end,enderson franco,,
Enmanuel De Jesus,https://www.baseball-reference.com/register/player.fcgi?id=dejesu001enm,enmanuel de jesus,,
,,enmanuel jose de jesus,헤이수스,Enmanuel Jose De Jesus
,,enny manuel romero hernandez,로메로,Enny Manuel Romero Hernandez
,,eok man kim,김억만,Eok-Man Kim
